SUDT ACCESSPORT LOG FILE - Monitor mode

Monitor: COM1 COM2
Create Time: 2020-01-08, 14:24:00
Computer Name: HC04096
System version:  (Build 9200)

#	Time		Duration (s)	Process		Request                             	Port	Result	Data ( Hex )	

153	14:22:39.725	0.00015350	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
154	14:22:39.725	0.00011470	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
155	14:22:39.776	0.00012390	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
156	14:22:39.781	0.00016200	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
157	14:22:39.825	0.00017750	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
158	14:22:39.825	0.00012890	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
159	14:22:39.876	0.00017790	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
160	14:22:39.876	0.00017530	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
161	14:22:39.925	0.00020640	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
162	14:22:39.926	0.00013040	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
163	14:22:39.975	0.00045720	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
164	14:22:39.978	0.00013770	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
165	14:22:40.035	0.00010590	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
166	14:22:40.035	0.00012350	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
167	14:22:40.086	0.00011940	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
168	14:22:40.087	0.00008660	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
